ticket_type,creation_date,view_date,action_date,customer_satisfaction,customer_problem_resolved,user_actioned,user_team
live_chat,2021-07-02 08:36:00.000000,2021-07-02 08:36:00.000000,2021-07-02 08:50:00.000000,1,False,291950,orange
web_form,2021-07-02 02:37:00.000000,2021-07-02 08:51:00.000000,2021-07-02 09:12:00.000000,1,False,291950,orange
web_form,2021-07-02 02:50:00.000000,2021-07-02 09:15:00.000000,2021-07-02 09:38:00.000000,1,False,291950,orange
web_form,2021-07-02 02:01:00.000000,2021-07-02 09:44:00.000000,2021-07-02 10:06:00.000000,1,False,291950,orange
web_form,2021-07-02 02:41:00.000000,2021-07-02 10:14:00.000000,2021-07-02 10:37:00.000000,2,False,291950,orange
email,2021-07-02 05:49:00.000000,2021-07-02 10:41:00.000000,2021-07-02 11:15:00.000000,1,False,291950,orange
email,2021-07-02 03:11:00.000000,2021-07-02 11:18:00.000000,2021-07-02 11:46:00.000000,1,True,291950,orange
web_form,2021-07-02 01:22:00.000000,2021-07-02 11:52:00.000000,2021-07-02 12:17:00.000000,1,False,291950,orange
email,2021-07-02 12:39:00.000000,2021-07-02 13:14:18.927395,2021-07-02 14:01:18.927395,1,False,291950,orange
web_form,2021-07-02 07:05:00.000000,2021-07-02 14:02:18.927395,2021-07-02 14:25:18.927395,1,True,291950,orange
email,2021-07-02 12:26:00.000000,2021-07-02 14:28:18.927395,2021-07-02 14:57:18.927395,3,False,291950,orange
live_chat,2021-07-02 15:03:18.927395,2021-07-02 15:03:18.927395,2021-07-02 15:25:18.927395,2,True,291950,orange
live_chat,2021-07-02 15:29:18.927395,2021-07-02 15:29:18.927395,2021-07-02 15:53:18.927395,1,False,291950,orange
email,2021-07-02 13:04:00.000000,2021-07-02 15:56:18.927395,2021-07-02 16:30:18.927395,1,False,291950,orange
email,2021-07-02 11:28:00.000000,2021-07-02 16:32:18.927395,2021-07-02 17:05:18.927395,2,False,291950,orange
web_form,2021-07-03 02:01:00.000000,2021-07-03 08:32:00.000000,2021-07-03 08:53:00.000000,3,False,291950,orange
web_form,2021-07-02 22:57:00.000000,2021-07-03 08:59:00.000000,2021-07-03 09:16:00.000000,2,False,291950,orange
live_chat,2021-07-03 09:16:00.000000,2021-07-03 09:18:00.000000,2021-07-03 09:38:00.000000,3,True,291950,orange
web_form,2021-07-03 03:55:00.000000,2021-07-03 09:42:00.000000,2021-07-03 10:10:00.000000,2,False,291950,orange
live_chat,2021-07-03 10:11:00.000000,2021-07-03 10:12:00.000000,2021-07-03 10:38:00.000000,1,True,291950,orange
live_chat,2021-07-03 10:40:00.000000,2021-07-03 10:41:00.000000,2021-07-03 11:01:00.000000,1,False,291950,orange
email,2021-07-02 19:24:00.000000,2021-07-03 11:04:00.000000,2021-07-03 11:38:00.000000,1,False,291950,orange
